1.0.0.1;1321;511
101.226.4.6;1851;1851
109.69.8.51;0;0
1.1.1.1;862;862
114.114.114.114;58;50
114.114.115.115;58;50
117.50.11.11;0;0
117.50.22.22;187;187
119.28.28.28;1822;1822
119.29.29.29;1884;1884
1.2.4.8;1905;1905
149.112.112.112;2079;2079
156.154.70.1;2211;2211
156.154.71.1;2220;2220
169.239.202.202;0;0
180.76.76.76;1724;1724
185.121.177.177;0;0
195.46.39.39;0;0
195.46.39.40;0;0
198.101.242.72;0;0
199.85.126.10;2217;2217
199.85.127.10;2243;2243
208.67.220.220;797;190
208.67.222.222;798;304
208.76.50.50;0;0
208.76.51.51;0;0
209.244.0.3;588;450
209.244.0.4;588;450
209.88.198.133;0;0
210.2.4.8;1004;189
216.146.35.35;149;100
216.146.36.36;148;100
218.30.118.6;1864;1864
223.5.5.5;1834;1834
223.6.6.6;1833;1833
23.253.163.53;0;0
37.235.1.174;0;0
37.235.1.177;0;0
64.6.64.6;193;52
64.6.65.6;2233;2233
74.82.42.42;983;474
77.88.8.1;24;24
77.88.8.8;21;21
80.80.80.80;1936;1936
80.80.81.81;38;0
81.218.119.11;0;0
8.20.247.20;1946;1946
8.26.56.26;0;0
84.200.69.80;1885;1885
84.200.70.40;22;22
8.8.4.4;2146;2146
8.8.8.8;2144;2144
89.233.43.71;0;0
91.239.100.100;0;0
9.9.9.9;2180;2180
