101.0.5.67;1888;1888
101.0.5.70;1464;1464
101.108.177.124;1441;1335
101.109.82.74;5916;5916
101.128.107.238;0;0
101.128.95.181;94;94
101.231.97.46;2880;2880
101.255.117.178;0;0
101.255.118.49;0;0
101.255.119.81;1608;1608
101.255.121.105;1129;1076
101.255.127.186;15;15
101.255.144.66;2965;2965
101.255.157.209;876;843
101.255.159.33;23;23
101.255.166.237;96;38
101.255.56.58;1442;1428
101.255.63.129;0;0
101.51.5.250;0;0
101.65.44.133;0;0
101.74.239.26;33;33
101.78.193.6;1760;815
101.95.0.102;392;392
101.95.0.106;663;640
101.95.0.130;368;368
101.95.0.178;639;592
101.95.0.190;598;598
101.95.0.206;637;634
101.95.0.98;662;662
101.95.100.206;405;405
101.95.100.246;145;133
101.95.100.38;299;299
101.95.100.66;144;138
101.95.101.18;386;386
101.95.101.214;381;381
101.95.101.226;163;163
101.95.101.26;365;351
101.95.101.30;64;64
101.95.10.142;382;382
101.95.101.54;374;374
101.95.10.18;376;376
101.95.10.198;359;359
101.95.10.226;628;591
101.95.10.246;597;571
101.95.103.142;676;628
101.95.103.162;368;368
101.95.103.170;504;495
101.95.103.222;369;369
101.95.103.242;382;382
101.95.103.26;154;154
101.95.107.254;388;388
101.95.109.174;377;377
101.95.111.118;159;159
101.95.11.122;341;341
101.95.111.242;295;295
101.95.11.126;339;339
101.95.11.130;73;73
101.95.11.146;507;491
101.95.112.126;157;157
101.95.112.174;361;361
101.95.112.194;155;155
101.95.112.246;378;378
101.95.112.30;271;271
101.95.112.38;387;387
101.95.11.30;657;606
101.95.113.166;351;351
101.95.113.190;367;367
101.95.113.210;375;375
101.95.113.222;388;388
101.95.113.6;339;339
101.95.113.94;272;272
101.95.114.158;69;69
101.95.114.174;79;79
101.95.114.186;522;522
101.95.114.198;380;380
101.95.114.218;21;21
101.95.114.242;383;383
101.95.114.246;348;348
101.95.114.66;385;385
101.95.11.50;366;366
101.95.11.70;340;340
101.95.1.178;341;341
101.95.1.182;381;381
101.95.12.114;352;352
101.95.12.14;635;635
101.95.12.18;673;655
101.95.12.26;637;601
101.95.12.30;364;364
101.95.1.254;240;202
101.95.1.26;501;472
101.95.128.106;373;373
101.95.128.126;651;645
101.95.128.130;368;368
101.95.128.138;663;624
101.95.128.146;158;158
101.95.128.166;372;372
101.95.128.178;216;194
101.95.128.194;328;328
101.95.128.222;680;680
101.95.128.238;673;673
101.95.128.98;632;589
101.95.12.94;654;622
101.95.130.14;640;632
101.95.130.150;651;590
101.95.130.162;659;659
101.95.130.230;636;636
101.95.130.30;363;363
101.95.130.74;376;376
101.95.131.106;372;372
101.95.13.110;377;377
101.95.131.118;0;0
101.95.131.162;359;359
101.95.131.166;78;78
101.95.13.118;374;374
101.95.131.18;362;362
101.95.131.190;322;322
101.95.13.158;640;633
101.95.13.202;648;640
101.95.132.146;277;277
101.95.13.34;2942;2942
101.95.134.110;0;0
101.95.134.134;522;522
101.95.134.194;217;217
101.95.134.230;351;351
101.95.135.146;268;268
101.95.135.150;162;162
101.95.135.182;15;15
101.95.135.18;481;481
101.95.136.146;394;394
101.95.136.230;344;344
101.95.136.50;385;385
101.95.136.98;666;648
101.95.137.114;158;158
101.95.137.14;378;378
101.95.137.150;357;357
101.95.137.174;362;362
101.95.137.214;348;348
101.95.137.238;379;379
101.95.137.2;15;15
101.95.137.42;21;21
101.95.137.58;420;420
101.95.137.86;375;375
101.95.137.94;387;387
101.95.137.98;375;375
101.95.138.154;388;388
101.95.138.162;154;154
101.95.138.178;154;154
101.95.138.186;155;155
101.95.138.190;36;36
101.95.138.202;356;356
101.95.138.210;347;344
101.95.138.218;316;316
101.95.138.242;648;642
101.95.138.30;742;628
101.95.138.38;67;67
101.95.138.58;378;378
101.95.138.90;74;74
101.95.139.118;667;645
101.95.139.126;0;0
101.95.139.162;358;358
101.95.139.218;215;197
101.95.139.250;372;372
101.95.139.2;385;385
101.95.139.6;662;640
101.95.140.102;144;144
101.95.140.110;156;156
101.95.140.134;274;274
101.95.140.166;333;333
101.95.140.178;133;130
101.95.140.182;74;74
101.95.140.186;156;156
101.95.140.22;15;15
101.95.140.242;350;350
101.95.140.254;119;110
101.95.140.46;374;374
101.95.140.62;363;363
101.95.140.66;35;35
101.95.141.10;370;370
101.95.141.142;389;389
101.95.141.158;73;73
101.95.141.178;77;77
101.95.141.206;385;385
101.95.141.210;355;355
101.95.141.22;386;386
101.95.141.242;363;363
101.95.141.246;147;147
101.95.14.134;514;484
101.95.141.34;368;368
101.95.141.38;55;55
101.95.14.146;645;625
101.95.141.50;355;355
101.95.14.162;385;385
101.95.14.166;356;356
101.95.141.70;361;361
101.95.14.178;647;626
101.95.141.78;23;23
101.95.14.182;655;646
101.95.14.186;363;363
101.95.141.90;337;337
101.95.14.198;642;636
101.95.14.202;158;158
101.95.142.142;194;116
101.95.142.146;380;380
101.95.142.14;374;374
101.95.142.174;356;356
101.95.142.246;166;166
101.95.14.226;635;613
101.95.14.234;666;657
101.95.14.246;678;596
101.95.142.98;387;387
101.95.143.162;281;281
101.95.143.198;138;138
101.95.143.218;216;216
101.95.143.222;383;383
101.95.143.254;528;528
101.95.148.106;155;155
101.95.148.134;375;375
101.95.148.146;345;345
101.95.148.150;154;154
101.95.148.190;156;156
101.95.148.202;654;630
101.95.148.214;157;157
101.95.148.218;344;344
101.95.148.230;148;148
101.95.148.254;146;146
101.95.148.2;743;656
101.95.148.58;149;149
101.95.148.66;14;14
101.95.148.70;160;160
101.95.148.98;375;375
101.95.149.102;156;156
101.95.149.130;152;152
101.95.149.134;395;395
101.95.149.14;388;388
101.95.149.166;634;620
101.95.149.190;153;153
101.95.149.194;70;70
101.95.149.206;350;338
101.95.149.210;632;612
101.95.149.226;153;153
101.95.149.250;655;631
101.95.149.2;173;173
101.95.149.34;269;269
101.95.149.46;89;81
101.95.149.58;208;208
101.95.149.62;88;78
101.95.149.70;139;133
101.95.149.78;153;153
101.95.149.82;160;160
101.95.149.86;150;150
101.95.14.98;665;624
101.95.149.90;368;368
101.95.150.118;157;157
101.95.150.130;364;364
101.95.150.138;157;157
101.95.150.146;376;376
101.95.150.174;475;452
101.95.150.202;216;200
101.95.150.210;155;155
101.95.150.234;376;376
101.95.150.38;154;154
101.95.150.46;399;399
101.95.15.102;154;154
101.95.151.102;130;130
101.95.151.110;157;157
101.95.151.114;371;371
101.95.151.118;239;199
101.95.151.178;155;155
101.95.151.198;79;79
101.95.151.22;183;183
101.95.151.250;356;356
101.95.151.26;229;229
101.95.151.30;364;364
101.95.151.38;505;505
101.95.15.154;148;148
101.95.151.62;364;364
101.95.151.78;241;195
101.95.15.186;269;269
101.95.151.86;656;655
101.95.152.130;364;364
101.95.152.58;354;354
101.95.152.94;498;494
101.95.15.30;387;387
101.95.153.106;662;630
101.95.153.86;637;637
101.95.154.98;161;161
101.95.1.54;157;157
101.95.155.142;391;391
101.95.155.50;368;368
101.95.155.98;377;377
101.95.157.14;373;373
101.95.157.150;553;553
101.95.158.174;379;379
