ip;network-operator;router vendor;model version;firmware version;successful protocols;Geo;AS-Number;BGP-Prefix;Org
102.213.219.234;;Mikrotik;;RouterOS;http80;KEN;329198.0;102.213.219.0/24;CELCOM-NETWORKS-LIMITED
102.215.196.146;;Mikrotik;CCR1009-7G-1C;RouterOS;snmp;LBY;21003.0;102.215.196.0/24;GPTC-AS
102.215.99.100;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.105;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.111;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.66;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.67;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.68;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.70;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.71;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.74;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.75;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.76;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.78;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.81;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.83;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.84;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.85;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.86;;Ubiquiti;;;http80,http8080,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.87;;Ubiquiti;;;http80,http8080,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.88;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.91;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.93;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
