ip;network-operator;router vendor;model version;firmware version;successful protocols
103.162.198.117;;;;;http8080,https443
103.162.198.118;;;;;http8080,https443
103.162.198.122;;;;;http80,https443
103.162.198.125;;;;;http80
103.162.198.13;;;;;http80,http8080,https443,ssh
103.162.198.24;;;;;http80,https443
103.162.198.37;;;;;https443,ssh
103.162.198.38;;;;;http80,https443,ssh
103.162.198.39;;;;;http80,http8080,https443
103.162.198.43;;Hikvision;;;http80
103.162.198.44;;;;;http80
103.162.198.45;;;;;http8080,https443,ssh
103.162.198.50;;Hikvision;;;http80,http8080
103.162.198.65;;;;;http8080
103.162.198.70;;;;;http80,https443
103.162.198.76;;Fortinet;;;http80,http8080,https443
103.162.198.77;;;;;http80,https443
103.162.198.80;;Hikvision;;;http80
103.162.198.81;;;;;http80,http8080,https443
103.162.198.82;;Hikvision;;;http80
103.162.198.85;;;;;http80,http8080,https443
103.162.198.91;;Mikrotik;;RouterOS,v6.42.10;http80
103.162.198.94;;;;;http80,http8080,https443
103.162.199.130;;Hikvision;;;http80
103.162.199.21;;Mikrotik;x86;RouterOS;http8080,https443,snmp
103.162.212.186;;Mikrotik;;RouterOS,v6.48.6;http80
103.162.212.190;;Mikrotik;RB760iGS;RouterOS,v6.48.6;http80,snmp
103.162.212.225;;Mikrotik;;RouterOS,v6.48.6;http80
103.162.212.66;;Mikrotik;CCR2004-1G-12S+2XS;RouterOS;snmp
103.162.37.222;;Mikrotik;CCR1036-12G-4S;RouterOS;snmp
103.162.57.177;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp,ssh
103.163.103.172;;Mikrotik;;RouterOS,v6.49.10;http80
103.163.103.173;;Mikrotik;;RouterOS,v6.49.10;http80
103.163.103.174;;Mikrotik;;RouterOS,v6.49.10;http80
103.163.103.175;;Mikrotik;;RouterOS,v6.49.10;http80
103.163.105.195;;;DVR;;http80,https443
103.163.134.1;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
103.163.166.11;;;DVR;;http80
103.163.166.14;;;;;http80
103.163.166.15;;;;;http80
103.163.166.28;;;;;http80,https443
103.163.166.3;;;;;http80,https443,ssh
103.163.166.36;;;;;https443
103.163.166.39;;Hikvision;;;http80
103.163.166.44;;Mikrotik;;RouterOS,v6.47.10;http80,ssh
103.163.166.47;;;DVR;;http80
103.163.166.56;;;;;http80
103.163.166.57;;;;;http80
103.163.166.58;;;DVR;;http80
103.163.166.7;;;DVR;;http80
103.163.166.98;;;;;http80,https443,ssh
103.163.202.10;;;;;http80,https443,ssh
103.163.202.11;;;;;http80,https443,ssh
103.163.202.112;;;;;http80,https443
103.163.202.113;;;;;http80
103.163.202.114;;;;;http80,http8080,https443
103.163.202.115;;;;;http80,http8080,https443
103.163.202.116;;;;;http80,http8080,https443
103.163.202.117;;;;;http80,http8080,https443
103.163.202.119;;;;;http80,http8080,https443
103.163.202.12;;;;;http80,https443,ssh
103.163.202.120;;;;;http80
103.163.202.121;;;;;http80,http8080,https443
103.163.202.122;;;;;http80,https443
103.163.202.123;;;;;http80,http8080,https443
103.163.202.124;;;;;http80,https443
103.163.202.125;;;;;http80,https443
103.163.202.126;;;;;http80,http8080,https443
103.163.202.127;;;;;http80
103.163.202.128;;;;;http80,https443
103.163.202.129;;;;;http80,http8080,https443
103.163.202.13;;;;;http80,https443,ssh
103.163.202.130;;;;;http80,https443
103.163.202.131;;;;;http80,http8080,https443
103.163.202.132;;;;;http80,http8080,https443
103.163.202.136;;;;;http80,http8080,https443
103.163.202.138;;;;;http80,https443
103.163.202.139;;;;;http80,http8080,https443
103.163.202.14;;;;;http80,https443,ssh
103.163.202.140;;;;;http80,http8080
103.163.202.141;;;;;http80,http8080,https443
103.163.202.142;;;;;http80,http8080,https443
103.163.202.143;;;;;http80,http8080,https443
103.163.202.144;;;;;http80,http8080,https443
103.163.202.145;;;;;http80
103.163.202.146;;;;;http80
103.163.202.147;;;;;http80,https443
103.163.202.148;;;;;http80,https443
103.163.202.149;;;;;http80,http8080,https443
103.163.202.150;;;;;http80,http8080
103.163.202.151;;;;;http80,https443
103.163.202.152;;;;;http80,https443
103.163.202.153;;;;;http80,http8080,https443
103.163.202.154;;;;;http80
103.163.202.155;;;;;http80,http8080,https443
103.163.202.156;;;;;http80,http8080,https443
103.163.202.157;;;;;http80,http8080
103.163.202.158;;;;;http80,http8080,https443
103.163.202.159;;;;;http80,http8080,https443
103.163.202.160;;;;;http80,http8080,https443
103.163.202.161;;;;;http80,http8080,https443
103.163.202.162;;;;;http80,http8080
103.163.202.163;;;;;http80
103.163.202.164;;;;;http80,https443
103.163.202.165;;;;;http80,http8080,https443
103.163.202.166;;;;;http80,http8080,https443
103.163.202.167;;;;;http80,https443
103.163.202.168;;;;;http80,https443
103.163.202.169;;;;;http80,https443
103.163.202.170;;;;;http80,http8080,https443
103.163.202.171;;;;;http80,http8080,https443
103.163.202.172;;;;;http80,http8080
103.163.202.173;;;;;http80,https443
103.163.202.174;;;;;http80,http8080,https443
103.163.202.175;;;;;http80,https443
103.163.202.176;;;;;http80,https443
103.163.202.177;;;;;http80,https443
103.163.202.178;;;;;http80,http8080
103.163.202.179;;;;;http80
103.163.202.180;;;;;http80,http8080,https443
103.163.202.181;;;;;http80,http8080,https443
103.163.202.182;;;;;http80,http8080,https443
103.163.202.183;;;;;http80,http8080
103.163.202.184;;;;;http80
103.163.202.185;;;;;http80,http8080
103.163.202.186;;;;;http80
103.163.202.187;;;;;http80,http8080
103.163.202.188;;;;;http80,http8080,https443
103.163.202.189;;;;;http80
103.163.202.190;;;;;http80,http8080,https443
103.163.202.191;;;;;http80,https443
103.163.202.192;;;;;http80,https443
103.163.202.193;;;;;http80,https443
103.163.202.194;;;;;http80
103.163.202.195;;;;;http80,http8080,https443
103.163.202.196;;;;;http80,https443
103.163.202.197;;;;;http80,https443
103.163.202.198;;;;;http80,https443
103.163.202.199;;;;;http80,http8080
103.163.202.200;;;;;http80,http8080
103.163.202.201;;;;;http80,http8080,https443
103.163.202.202;;;;;http80
103.163.202.203;;;;;http80,http8080,https443
103.163.202.204;;;;;http80,http8080
103.163.202.205;;;;;http80,http8080,https443
103.163.202.206;;;;;http80,https443
103.163.202.207;;;;;http80,http8080,https443
103.163.202.208;;;;;http80,https443
103.163.202.209;;;;;http80,http8080,https443
103.163.202.210;;;;;http80
103.163.202.211;;;;;http80,http8080
103.163.202.212;;;;;http80,http8080,https443
103.163.202.213;;;;;http80
103.163.202.214;;;;;http80,https443
103.163.202.215;;;;;http80,http8080
103.163.202.216;;;;;http80,http8080,https443
103.163.202.217;;;;;http80,http8080
103.163.202.218;;;;;http80,https443
103.163.202.219;;;;;http80,https443
103.163.202.220;;;;;http80,http8080,https443
103.163.202.221;;;;;http80
103.163.202.222;;;;;http80,http8080
103.163.202.223;;;;;http80
103.163.202.224;;;;;http80,http8080,https443
103.163.202.225;;;;;http80,https443
103.163.202.226;;;;;http80,https443
103.163.202.227;;;;;http80,https443
103.163.202.228;;;;;http80,http8080,https443
103.163.202.229;;;;;http80,https443
103.163.202.230;;;;;http80,https443
103.163.202.231;;;;;http80,http8080,https443
103.163.202.232;;;;;http80,https443
103.163.202.233;;;;;http80,http8080
103.163.202.234;;;;;http80,https443
103.163.202.235;;;;;http80,http8080,https443
103.163.202.236;;;;;http80,http8080,https443
103.163.202.237;;;;;http80,http8080
103.163.202.238;;;;;http80
103.163.202.239;;;;;http80,http8080,https443
103.163.202.240;;;;;http80
103.163.202.241;;;;;http80
103.163.202.242;;;;;http80,http8080
103.163.202.243;;;;;http80,https443
103.163.202.244;;;;;http80,http8080,https443
103.163.202.245;;;;;http80,http8080,https443
103.163.202.246;;;;;http80,http8080,https443
103.163.202.247;;;;;http80,https443
103.163.202.248;;;;;http80,http8080,https443
103.163.202.249;;;;;http80,http8080,https443
103.163.202.250;;;;;http80,http8080,https443
103.163.202.251;;;;;http80
103.163.202.252;;;;;http80,http8080
103.163.202.253;;;;;http80,http8080,https443
103.163.202.254;;;;;http80,https443
103.163.202.255;;;;;http80,http8080,https443
103.163.202.3;;;;;https443
103.163.202.32;;;;;http80
103.163.202.33;;;;;http80,http8080,https443
103.163.202.34;;;;;http80,http8080
103.163.202.35;;;;;http80,http8080,https443
103.163.202.36;;;;;http80,https443
103.163.202.37;;;;;http80,https443
103.163.202.38;;;;;http80,http8080,https443
103.163.202.39;;;;;http80
103.163.202.4;;;;;ssh
103.163.202.40;;;;;http80,https443
103.163.202.41;;;;;http80,http8080,https443
103.163.202.42;;;;;http80,http8080,https443
103.163.202.43;;;;;http80,https443
103.163.202.44;;;;;http80
103.163.202.45;;;;;http80,http8080
103.163.202.46;;;;;http80,http8080
103.163.202.47;;;;;http80,http8080
103.163.202.48;;;;;http80,http8080
103.163.202.49;;;;;http80,http8080,https443
103.163.202.5;;;;;http8080,ssh
103.163.202.50;;;;;http80,http8080,https443
103.163.202.51;;;;;http80,http8080,https443
103.163.202.52;;;;;http80,http8080,https443
103.163.202.53;;;;;http80,https443
103.163.202.54;;;;;http80
103.163.202.55;;;;;http80
103.163.202.56;;;;;http80,http8080,https443
103.163.202.57;;;;;http80,http8080,https443
103.163.202.58;;;;;http80,http8080
103.163.202.59;;;;;http80
103.163.202.60;;;;;http80,http8080
103.163.202.61;;;;;http80,http8080,https443
103.163.202.62;;;;;http80,http8080,https443
103.163.202.63;;;;;http80,https443
103.163.202.64;;;;;http80,https443
103.163.202.65;;;;;http80,https443
103.163.202.66;;;;;http80,http8080,https443
103.163.202.67;;;;;http80,http8080,https443
103.163.202.68;;;;;http80,http8080,https443
103.163.202.69;;;;;http80,https443
103.163.202.7;;;;;http80,https443,ssh
103.163.202.70;;;;;http80,http8080,https443
103.163.202.71;;;;;http80,http8080
103.163.202.72;;;;;http80,http8080,https443
103.163.202.73;;;;;http80,http8080,https443
103.163.202.74;;;;;http80,https443
103.163.202.75;;;;;http80,http8080,https443
103.163.202.76;;;;;http80,http8080,https443
103.163.202.77;;;;;http80,https443
103.163.202.78;;;;;http80,http8080
103.163.202.79;;;;;http80,http8080,https443
103.163.202.8;;;;;http8080,ssh
103.163.202.80;;;;;http80,https443
103.163.202.81;;;;;http80,http8080,https443
103.163.202.82;;;;;http80,http8080
103.163.202.83;;;;;http80,http8080,https443
103.163.202.84;;;;;http80,https443
103.163.202.85;;;;;http80,http8080
103.163.202.86;;;;;http80,http8080,https443
103.163.202.87;;;;;http80,https443
103.163.202.88;;;;;http80,http8080,https443
103.163.202.89;;;;;http80,http8080,https443
103.163.202.9;;;;;http80,https443,ssh
103.163.202.90;;;;;http80,https443
103.163.202.91;;;;;http80,http8080
103.163.202.92;;;;;http80,http8080,https443
103.163.202.93;;;;;http80,https443
103.163.202.94;;;;;http80,http8080,https443
103.163.202.95;;;;;http80
103.163.203.100;;;;;http80,https443
103.163.203.101;;;;;http80,http8080,https443
103.163.203.102;;;;;http80,http8080,https443
103.163.203.103;;;;;http80,https443
103.163.203.104;;;;;http80,https443
103.163.203.105;;;;;http80
103.163.203.106;;;;;http80
103.163.203.107;;;;;http80,http8080,https443
103.163.203.108;;;;;http80,http8080,https443
103.163.203.109;;;;;http80
103.163.203.110;;;;;http80,https443
103.163.203.111;;;;;http80,https443
103.163.203.112;;;;;http80,http8080,https443
103.163.203.113;;;;;http80,http8080,https443
103.163.203.114;;;;;http80
103.163.203.115;;;;;http80,https443
103.163.203.116;;;;;http80,https443
103.163.203.117;;;;;http80,http8080
103.163.203.118;;;;;http80,http8080,https443
103.163.203.12;;;;;http80,http8080,https443
103.163.203.120;;;;;http80,https443
103.163.203.121;;;;;http80,https443
103.163.203.122;;;;;http80,https443
103.163.203.123;;;;;http80,http8080,https443
103.163.203.124;;;;;http80,https443
103.163.203.125;;;;;http80,http8080,https443
103.163.203.126;;;;;http80
103.163.203.127;;;;;http80,https443
103.163.203.128;;;;;http80,https443
103.163.203.129;;;;;http80,http8080,https443
103.163.203.13;;;;;http80,http8080,https443
103.163.203.130;;;;;http80,http8080,https443
103.163.203.131;;;;;http80,https443
103.163.203.133;;;;;http80,http8080,https443
103.163.203.134;;;;;http80,https443
103.163.203.135;;;;;http80,http8080,https443
103.163.203.136;;;;;http80,https443
103.163.203.137;;;;;http80,http8080,https443
103.163.203.138;;;;;http80,https443
103.163.203.139;;;;;http80,http8080
103.163.203.14;;;;;http80,http8080,https443
103.163.203.140;;;;;http80,https443
103.163.203.141;;;;;http80
103.163.203.145;;;;;http80,https443
103.163.203.146;;;;;http80,http8080
103.163.203.147;;;;;http80,http8080,https443
103.163.203.148;;;;;http80,https443
103.163.203.149;;;;;http80,https443
103.163.203.15;;;;;http80
103.163.203.150;;;;;http80,http8080,https443
103.163.203.151;;;;;http80,http8080,https443
103.163.203.152;;;;;http80,http8080,https443
103.163.203.153;;;;;http80,http8080,https443
103.163.203.154;;;;;http80
103.163.203.155;;;;;http80,http8080
103.163.203.156;;;;;http80,https443
103.163.203.157;;;;;http80,http8080
103.163.203.158;;;;;http80,http8080,https443
103.163.203.159;;;;;http80,https443
103.163.203.16;;;;;http80,https443,ssh
103.163.203.160;;;;;http80,http8080,https443
103.163.203.161;;;;;http80
103.163.203.162;;;;;http80
103.163.203.163;;;;;http80,https443
103.163.203.164;;;;;http80
103.163.203.165;;;;;http80,http8080,https443
103.163.203.166;;;;;http80,http8080,https443
103.163.203.167;;;;;http80
103.163.203.168;;;;;http80,http8080
103.163.203.169;;;;;http80,http8080,https443
103.163.203.17;;;;;http80,http8080
103.163.203.170;;;;;http80,http8080
103.163.203.171;;;;;http80,https443
103.163.203.172;;;;;http80,http8080
103.163.203.173;;;;;http80,http8080
103.163.203.174;;;;;http80,http8080,https443
103.163.203.175;;;;;http80,http8080
103.163.203.176;;;;;http80,http8080,https443
103.163.203.177;;;;;http80
103.163.203.178;;;;;http80,http8080,https443
103.163.203.179;;;;;http80,http8080
103.163.203.18;;;;;http80
103.163.203.180;;;;;http80
103.163.203.181;;;;;http80,http8080,https443
103.163.203.182;;;;;http80
103.163.203.183;;;;;http80,http8080,https443
103.163.203.184;;;;;http80,http8080
103.163.203.185;;;;;http80,http8080
103.163.203.186;;;;;http80
103.163.203.187;;;;;http80,http8080,https443
103.163.203.188;;;;;http80,https443
103.163.203.189;;;;;http80,http8080,https443
103.163.203.19;;;;;http80,http8080,https443
103.163.203.190;;;;;http80,http8080
103.163.203.191;;;;;http80,http8080,https443
103.163.203.192;;;;;http80,https443
103.163.203.193;;;;;http80,http8080,https443
103.163.203.194;;;;;http80,http8080,https443
103.163.203.195;;;;;http80,http8080,https443
103.163.203.196;;;;;http80,https443
103.163.203.197;;;;;http80,http8080,https443
103.163.203.198;;;;;http80,http8080,https443
103.163.203.199;;;;;http80,http8080
103.163.203.20;;;;;http80,http8080
103.163.203.200;;;;;http80,http8080,https443
103.163.203.201;;;;;http80,https443
103.163.203.202;;;;;http80,http8080
103.163.203.203;;;;;http80,https443
103.163.203.205;;;;;http80,http8080
103.163.203.206;;;;;http80,http8080,https443
103.163.203.207;;;;;http80
103.163.203.208;;;;;http80,https443
103.163.203.209;;;;;http80,http8080,https443
103.163.203.21;;;;;http80,http8080,https443
103.163.203.210;;;;;http80,http8080,https443
103.163.203.211;;;;;http80,http8080
103.163.203.212;;;;;http80,http8080,https443
103.163.203.213;;;;;http80,https443
103.163.203.214;;;;;http80,https443
103.163.203.215;;;;;http80,http8080,https443
103.163.203.216;;;;;http80,https443
103.163.203.217;;;;;http80,http8080,https443
103.163.203.218;;;;;http80,http8080
103.163.203.219;;;;;http80,http8080
103.163.203.22;;;;;http80
103.163.203.220;;;;;http80,https443
103.163.203.221;;;;;http80,http8080,https443
103.163.203.222;;;;;http80,https443
103.163.203.223;;;;;http80,http8080,https443
103.163.203.224;;;;;http80,http8080,https443
103.163.203.225;;;;;http80,http8080,https443
103.163.203.226;;;;;http80,https443
103.163.203.227;;;;;http80,http8080,https443
103.163.203.228;;;;;http80,http8080,https443
103.163.203.229;;;;;http80,https443
103.163.203.23;;;;;http80
103.163.203.230;;;;;http80
103.163.203.231;;;;;http80,https443
103.163.203.232;;;;;http80
103.163.203.233;;;;;http80,http8080,https443
103.163.203.234;;;;;http80,http8080,https443
103.163.203.235;;;;;http80,https443
103.163.203.236;;;;;http80,http8080,https443
103.163.203.237;;;;;http80,http8080
103.163.203.238;;;;;http80,http8080,https443
103.163.203.239;;;;;http80
103.163.203.240;;;;;http80,https443
103.163.203.241;;;;;http80
103.163.203.242;;;;;http80,http8080,https443
103.163.203.243;;;;;http80,http8080,https443
103.163.203.244;;;;;http80,http8080,https443
103.163.203.246;;;;;http80,http8080
103.163.203.247;;;;;http80,https443
103.163.203.248;;;;;http80,http8080
103.163.203.249;;;;;http80,https443
103.163.203.250;;;;;http80,https443
103.163.203.251;;;;;http80,http8080
103.163.203.252;;;;;http80,http8080,https443
103.163.203.253;;;;;http80,https443
103.163.203.254;;;;;http80
103.163.203.255;;;;;http80,http8080,https443
103.163.203.64;;;;;http80,http8080,https443
103.163.203.65;;;;;http80,https443
103.163.203.66;;;;;http80,https443
103.163.203.67;;;;;http80,http8080
103.163.203.68;;;;;http80,https443
103.163.203.69;;;;;http80,https443
103.163.203.70;;;;;http80,http8080
103.163.203.71;;;;;http80,http8080,https443
103.163.203.72;;;;;http80
103.163.203.73;;;;;http80,http8080,https443
103.163.203.74;;;;;http80
103.163.203.75;;;;;http80
103.163.203.76;;;;;http80,http8080,https443
103.163.203.77;;;;;http80,http8080,https443
103.163.203.78;;;;;http80,http8080
103.163.203.79;;;;;http80,https443
103.163.203.8;;;;;http80,http8080,https443
103.163.203.9;;;;;http80,https443,ssh
103.163.203.96;;;;;http80,http8080,https443
103.163.203.97;;;;;http80,http8080,https443
103.163.203.98;;;;;http80,http8080,https443
103.163.203.99;;;;;http80,http8080,https443
103.163.36.85;;Mikrotik;x86;RouterOS;snmp
103.163.36.86;;Mikrotik;CCR2116-12G-4S+;RouterOS;http8080,https443,snmp
103.163.8.1;;Mikrotik;CCR1036-12G-4S;RouterOS;snmp
103.163.8.10;;;;;http80,https443,ssh
103.163.8.113;;;;;http80,https443,ssh
103.163.8.115;;;;;http80,https443,ssh
103.163.8.122;;;;;http80,https443,ssh
103.163.8.125;;;;;http80,https443,ssh
103.163.8.129;;Mikrotik;CCR1036-12G-4S;RouterOS;snmp
103.163.8.13;;;;;http80,https443,ssh
103.163.8.135;;;;;http80,https443,ssh
103.163.8.137;;;;;http80,https443,ssh
103.163.8.14;;;;;http80,https443,ssh
103.163.8.141;;;;;http80,https443,ssh
103.163.8.145;;;;;http80,https443,ssh
103.163.8.19;;;;;http80
103.163.8.193;;Mikrotik;CCR1036-12G-4S;RouterOS;snmp
103.163.8.22;;;;;http80,https443,ssh
103.163.8.225;;Mikrotik;CCR1036-12G-4S;RouterOS;snmp
103.163.8.226;;;;;http80,http8080,https443
103.163.8.227;;;these;;http80,https443
103.163.8.228;;;;;http80,http8080,https443
103.163.8.229;;;;;http80,http8080,https443
103.163.8.235;;;;;http80
103.163.8.24;;;;;http80,https443,ssh
103.163.8.25;;;;;http80,https443,ssh
103.163.8.32;;;;;http80,https443,ssh
103.163.8.4;;;;;http80,https443,ssh
103.163.8.41;;;;;http80,https443,ssh
103.163.8.42;;;;;http80,https443,ssh
103.163.8.48;;;;;http80,https443,ssh
103.163.8.61;;;;;http80,https443,ssh
103.163.8.65;;;;;http80,https443,ssh
103.163.8.66;;;;;http80,https443,ssh
103.163.8.68;;;;;http80,https443,ssh
103.163.8.72;;;;;http80,https443,ssh
103.163.8.87;;;;;http80,https443,ssh
103.163.8.88;;;;;http80,https443,ssh
103.163.8.90;;;;;http80,https443,ssh
103.163.8.93;;;;;http80,https443,ssh
103.163.8.95;;;;;http80,https443,ssh
103.163.8.97;;;;;http80,https443,ssh
103.163.98.120;;Mikrotik;;RouterOS,v6.46.4;http80
103.163.98.16;;Mikrotik;;RouterOS,v6.48;http80
103.163.98.224;;Mikrotik;;RouterOS,v6.47;http80,https443
103.163.98.248;;Mikrotik;x86;RouterOS;snmp
103.163.98.48;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.163.98.64;;Mikrotik;;RouterOS,v7.8;http80
103.163.98.88;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS,v6.48.4;http80,snmp
103.164.119.161;;Mikrotik;RB1100x4;RouterOS;snmp
103.164.119.165;;;;;ssh
103.164.12.129;;Mikrotik;RB3011UiAS;RouterOS;snmp
103.164.12.169;;Mikrotik;RB3011UiAS;RouterOS;snmp
103.164.12.170;;Mikrotik;RB3011UiAS;RouterOS;snmp
103.164.12.174;;Mikrotik;CCR1016-12G;RouterOS;http8080,snmp
103.164.13.113;;Mikrotik;RB750Gr3;RouterOS;snmp
103.164.161.129;;Mikrotik;CCR1036-8G-2S+;RouterOS,v6.47.9;http80,http8080,snmp
103.164.161.210;;Mikrotik;CCR1036-8G-2S+;RouterOS,v6.48.6;http8080,snmp
103.164.161.38;;Mikrotik;CCR1036-8G-2S+;RouterOS,v6.47.9;http80,http8080,snmp
103.164.161.98;;Mikrotik;CCR2116-12G-4S+;RouterOS;snmp
103.164.180.101;;Mikrotik;x86;RouterOS;snmp
103.164.200.109;;Mikrotik;CCR1016-12S-1S+;RouterOS;snmp
103.164.200.121;;Mikrotik;RB3011UiAS;RouterOS;snmp
103.164.200.138;;Mikrotik;CCR1009-8G-1S-1S+;RouterOS;snmp
103.164.200.142;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
103.164.200.164;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
103.164.200.82;;Mikrotik;x86;RouterOS;snmp
103.164.208.101;;;;;http80
103.164.220.189;;Mikrotik;RB450Gx4;RouterOS;http80,http8080,snmp
103.164.238.150;;Mikrotik;;RouterOS;http80,ssh
103.164.238.17;;;;;http80
103.164.238.18;;;;;http80
103.164.238.182;;Mikrotik;;RouterOS,v6.49.7;http80
103.164.238.197;;TP-Link;No.,TL-WR841N,TP-Link Wireless N Router WR841N;;http80,https443
103.164.238.206;;Mikrotik;;RouterOS,v6.49.13;http80,https443
103.164.238.65;;;;;http80
103.164.239.113;;;;;http80
103.164.239.208;;Mikrotik;;RouterOS,v6.48.6;http80,ssh
103.164.239.97;;;;;http80
103.164.255.182;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.164.255.193;;Mikrotik;;RouterOS;http80,ssh
103.164.255.198;;Mikrotik;;RouterOS,v6.49.13;http80
103.164.255.229;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS,v6.49.15;http80,snmp
103.164.255.25;;Mikrotik;;RouterOS;http80
103.164.255.30;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS,v6.49.15;http80,snmp
103.164.38.10;;;;;http80,http8080,https443
103.164.38.14;;;;;http80,ssh
103.164.70.106;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
103.164.70.11;;Mikrotik;CCR1009-8G-1S-1S+;RouterOS;snmp
103.164.70.14;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.165.114.118;;;;;http80
103.165.114.137;;;;;http80
103.165.114.93;;;;;http8080
103.165.116.66;;;;;http80,https443
103.165.116.68;;;;;http80,https443
103.165.117.122;;;;;http80,http8080,https443
103.165.117.124;;;;;http80,http8080
103.165.117.148;;;;;http80,http8080,https443
103.165.117.170;;;;;http80
103.165.117.218;;;;;http8080,https443
103.165.117.219;;;;;http8080,https443
103.165.13.65;;;;;http8080,ssh
103.165.13.69;;;;;http80
103.165.140.203;;;;;http80,https443
103.165.22.106;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
103.165.22.161;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
103.165.22.163;;Mikrotik;CCR1009-8G-1S;RouterOS;snmp
103.165.22.164;;Fortinet;;;http80,http8080,https443
103.165.22.165;;;;;http80,http8080,https443,ssh
103.165.22.166;;Fortinet;;;http8080,https443,ssh
103.165.221.169;;Mikrotik;RB450Gx4;RouterOS;snmp
103.165.23.130;;Mikrotik;CCR2004-1G-12S+2XS;RouterOS;snmp
103.165.23.73;;Mikrotik;CCR2004-1G-12S+2XS;RouterOS;snmp
103.165.34.241;;Mikrotik;RB1100Dx4;RouterOS;snmp
103.165.42.197;;Mikrotik;RB450Gx4;RouterOS;snmp
103.165.42.198;;;;;ssh
103.165.71.12;;Mikrotik;x86;RouterOS;snmp
103.166.103.110;;Mikrotik;RB4011iGS+;RouterOS;snmp
103.166.160.18;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.166.196.242;;Mikrotik;RB1100AH;RouterOS;snmp
103.166.196.243;;Mikrotik;RB1100AH;RouterOS;snmp
103.166.196.244;;Hikvision,Mikrotik;RB1100AH;RouterOS;http80,https443,snmp
103.166.196.248;;Mikrotik;RB1100AH;RouterOS;snmp
103.166.196.249;;Mikrotik;RB1100AH;RouterOS;snmp
103.166.196.250;;Mikrotik;RB1100AH;RouterOS;snmp
103.166.196.252;;Mikrotik;RB1100AH;RouterOS;snmp
103.166.196.253;;Mikrotik;RB1100AH;RouterOS;snmp
103.166.196.254;;Mikrotik;RB1100AH;RouterOS;snmp
103.167.126.114;;Mikrotik;CCR1009-8G-1S-1S+;RouterOS;snmp
103.167.126.123;;Mikrotik;RB450Gx4;RouterOS;snmp
103.167.126.194;;Mikrotik;CCR2116-12G-4S+;RouterOS;snmp
103.167.126.195;;Mikrotik;;RouterOS,v6.48.6;http80
103.167.126.196;;Mikrotik;RB1100Dx4;RouterOS;snmp
103.167.126.197;;Mikrotik;RB4011iGS+;RouterOS;snmp
103.167.126.198;;Mikrotik;CCR2004-16G-2S+;RouterOS;snmp
103.167.126.206;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.167.126.210;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.167.126.250;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.167.126.251;;Mikrotik;CCR1009-8G-1S-1S+;RouterOS;snmp
103.167.126.252;;Mikrotik;CCR1009-8G-1S-1S+;RouterOS,v6.49.8;http80,snmp
103.167.126.253;;Mikrotik;CCR1009-8G-1S-1S+;RouterOS;http80,snmp
103.167.126.90;;Mikrotik;CCR2004-16G-2S+;RouterOS;snmp
103.167.127.106;;Mikrotik;CCR2116-12G-4S+;RouterOS;http80,http8080,snmp
103.167.127.162;;Mikrotik;CCR2004-16G-2S+;RouterOS;snmp
103.167.127.34;;Mikrotik;;RouterOS,v6.49.5;http80
103.167.127.37;;Mikrotik;;RouterOS,v6.49.13;http80,ssh
103.167.127.78;;;;;http80,ssh
103.167.157.1;;Mikrotik;CCR1036-8G-2S+;RouterOS,v6.49.2;http80,snmp
103.167.157.10;;;V1600D;;snmp
103.167.157.11;;;V1600D;;snmp
103.167.157.12;;;V1600D;;snmp
103.167.157.128;;Mikrotik;CCR1036-8G-2S+;RouterOS,v6.49.2;http80,snmp
103.167.157.17;;Mikrotik;CCR1036-8G-2S+;RouterOS,v6.49.2;http80,snmp
103.167.157.33;;Mikrotik;CCR1036-8G-2S+;RouterOS,v6.49.2;http80,snmp
103.167.157.4;;;;;http80,http8080
103.167.157.9;;Mikrotik;CCR1036-8G-2S+;RouterOS,v6.49.2;http80,snmp
103.167.170.108;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.167.172.58;;Mikrotik;CCR1036-12G-4S;RouterOS;snmp
103.167.29.121;;Mikrotik;CCR1036-12G-4S;RouterOS,v6.49.1;http8080,snmp
