ip;network-operator;router vendor;model version;firmware version;successful protocols
102.22.222.134;;ZTE;;;http80,https443
102.22.222.17;;;;;http80
102.22.222.176;;ZTE;;;http80,https443
102.22.222.34;;ZTE;;;http80,https443
102.22.222.38;;ZTE;;;http80,https443
102.22.222.63;;;;;http80,https443,ssh
102.220.142.202;;Mikrotik;RB4011iGS+;RouterOS;snmp
102.221.44.154;;ZTE;;;http80,https443
102.221.45.188;;;;;http80,ssh
102.221.45.220;;ZTE;;;http80,https443
102.221.45.249;;;;;http80,https443,ssh
102.221.45.51;;ZTE;;;http80,https443
102.221.45.58;;;;;http80,https443,ssh
102.221.46.10;;ZTE;;;http80,http8080
102.221.46.29;;ZTE;;;http80,https443
102.221.46.34;;;;;http80,https443
102.222.240.10;;Mikrotik;RB5009UG+S+;RouterOS;snmp
102.222.240.20;;Mikrotik;C53UiG+5HPaxD2HPaxD;RouterOS;snmp
102.222.240.5;;;;;http80,http8080
102.222.241.20;;Mikrotik;RBD53iG-5HacD2HnD;RouterOS;snmp
102.222.242.128;;Mikrotik;RB750GL;RouterOS;snmp
102.222.243.116;;Mikrotik;RB750Gr3;RouterOS;snmp
102.222.243.250;;Mikrotik;CCR2116-12G-4S+;RouterOS;snmp
102.222.243.251;;Mikrotik;CCR2116-12G-4S+;RouterOS;snmp
102.222.243.30;;Mikrotik;RB5009UG+S+;RouterOS;snmp
102.223.208.3;;Mikrotik;CCR1036-12G-4S;RouterOS;snmp
102.223.34.1;;Mikrotik;;RouterOS;http80
102.223.34.101;;Mikrotik;;RouterOS;http80,ssh
102.223.34.105;;Mikrotik;;RouterOS;http80,ssh
102.223.34.109;;Mikrotik;;RouterOS;http80,ssh
102.223.34.113;;Mikrotik;;RouterOS;http80
102.223.34.114;;Mikrotik;;RouterOS;http80
102.223.34.117;;Mikrotik;;RouterOS;http80,ssh
102.223.34.14;;;;;http80,https443
102.223.34.2;;;;;http80,https443,ssh
102.223.34.24;;Mikrotik;;RouterOS;http80,ssh
102.223.34.33;;Mikrotik;;RouterOS;http80,ssh
102.223.34.34;;;;;ssh
102.223.34.37;;Mikrotik;;RouterOS;http80,ssh
102.223.34.38;;;;;ssh
102.223.34.41;;Mikrotik;;RouterOS;http80,ssh
102.223.34.42;;;;;ssh
102.223.34.45;;Mikrotik;;RouterOS;http80,ssh
102.223.34.53;;Mikrotik;;RouterOS;http80,ssh
102.223.34.57;;Mikrotik;;RouterOS;http80,ssh
102.223.34.6;;Mikrotik;;RouterOS;http80,ssh
102.223.34.61;;Mikrotik;;RouterOS;http80,ssh
102.223.34.73;;Mikrotik;;RouterOS;http80
102.223.34.74;;;;;http80,http8080,https443,ssh
102.223.34.77;;Mikrotik;;RouterOS;http80,ssh
102.223.34.81;;Mikrotik;;RouterOS;http80,ssh
102.223.34.89;;Mikrotik;;RouterOS;http80,ssh
102.223.34.9;;Mikrotik;;RouterOS;http80,ssh
102.223.34.93;;Mikrotik;;RouterOS;http80,ssh
102.223.35.11;;ZTE;;;http80,http8080
102.223.35.17;;;;;http80,http8080,https443
102.223.35.20;;;;;https443,ssh
102.223.35.22;;;;;http80,http8080,https443
102.223.35.26;;;RB0Av;;http80,http8080,https443,ssh
102.223.35.4;;;;;https443
102.223.35.67;;;;;http80,http8080
102.223.35.69;;Hikvision;;;http80
102.223.35.7;;;;;http80,http8080,https443
102.23.177.17;;Mikrotik;RBD52G-5HacD2HnD;RouterOS;snmp
102.23.208.42;;Mikrotik;CCR1009-7G-1C;RouterOS;snmp
102.33.61.114;;Mikrotik;RB2011iL;RouterOS;snmp
102.33.85.106;;Mikrotik;RB750r2;RouterOS;snmp
102.33.90.72;;Mikrotik;RB760iGS;RouterOS;snmp
102.36.127.15;;Mikrotik;CCR1016-12G;RouterOS;snmp
102.67.160.42;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
102.69.206.7;;Mikrotik;CCR1016-12S-1S+;RouterOS;snmp
102.69.241.254;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
102.90.16.18;;Mikrotik;CCR1036-12G-4S;RouterOS;snmp
103.10.208.10;;Mikrotik;x86;RouterOS;snmp
103.10.208.14;;Mikrotik;x86;RouterOS;snmp
103.10.208.225;;Mikrotik;x86;RouterOS;snmp
103.10.208.229;;Fortinet;;;http80,http8080,https443
103.10.208.233;;;;;http80,ssh
103.10.208.239;;;;;http8080,ssh
103.10.208.241;;;Linux TL-R600VPN 3.3.8 #1 Fri Jan 26 15:08:30 CST 2018 mips;;http8080,https443,snmp
103.10.208.242;;;;;http80
103.10.208.34;;Mikrotik;x86;RouterOS;snmp
103.10.208.44;;;;;http80,https443,ssh
103.10.208.6;;Mikrotik;x86;RouterOS;snmp
103.10.211.129;;Mikrotik;x86;RouterOS;snmp
103.10.231.121;;Mikrotik;RB1100x4;RouterOS;snmp
103.10.81.34;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
103.100.20.101;;Hikvision;;;http80
103.100.20.103;;Hikvision;;;http80
103.100.20.105;;;;;http80,http8080,https443
103.100.20.109;;Hikvision;;;http80
103.100.20.119;;Hikvision;;;http80
103.100.20.125;;Hikvision;;;http80
103.100.20.126;;Hikvision;;;http80
103.100.20.127;;Hikvision;;;http80
103.100.20.129;;Hikvision;;;http80
103.100.20.135;;;;;http80
103.100.20.136;;;;;http80,https443
103.100.20.137;;;;;http80,https443,ssh
103.100.20.142;;Hikvision;;;http80
103.100.20.143;;Hikvision;;;http80
103.100.20.145;;Hikvision;;;http80
103.100.20.15;;;;;http80
103.100.20.150;;;;;http80,https443
103.100.20.157;;Hikvision;;;http80
103.100.20.162;;Hikvision;;;http80
103.100.20.165;;Hikvision;;;http80
103.100.20.171;;Hikvision;;;http80
103.100.20.180;;Hikvision;;;http80
103.100.20.191;;;;;http8080,https443
103.100.20.192;;;;;http8080,https443
103.100.20.227;;;;;http80,http8080,https443,ssh
103.100.20.228;;;;;http80,http8080
103.100.20.230;;;;;http80
103.100.20.236;;Hikvision;;;http80
103.100.20.239;;;;;http80,http8080,https443
103.100.20.241;;Hikvision;;;http80
103.100.20.247;;;;;http80
103.100.20.251;;Hikvision;;;http80
103.100.20.28;;;;;http80
103.100.20.30;;Hikvision;;;http80
103.100.20.31;;;;;http80,https443
103.100.20.36;;;;;http80,https443
103.100.20.37;;;;;http80,http8080
103.100.20.41;;;;;http80,http8080,https443
103.100.20.49;;Hikvision;;;http80
103.100.20.5;;Hikvision;;;http80
103.100.20.51;;Hikvision;;;http80
103.100.20.52;;Hikvision;;;http80
103.100.20.55;;Hikvision;;;http80
103.100.20.63;;;;;http80,http8080,https443
103.100.20.87;;Hikvision;;;http80
103.100.20.89;;Fortinet;;;http80,http8080,https443,ssh
103.100.20.99;;;;;http80,http8080,https443
103.100.22.1;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.100.22.10;;Fortinet;;;http80,https443,ssh
103.100.22.129;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.100.22.141;;;;;https443
103.100.22.151;;;;;http80,https443,ssh
103.100.22.222;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.100.22.226;;Mikrotik;x86;RouterOS;snmp
103.100.22.233;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.100.22.9;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.100.76.1;;Mikrotik;RB1100x4;RouterOS;snmp
103.100.76.13;;Hikvision;;;http80
103.100.76.17;;Mikrotik;RB1100x4;RouterOS;snmp
103.100.76.193;;Mikrotik;RB1100x4;RouterOS;snmp
103.100.76.225;;Mikrotik;RB1100x4;RouterOS;snmp
103.100.76.241;;Mikrotik;RB1100x4;RouterOS;snmp
103.100.76.7;;Hikvision;;;http80
103.100.77.249;;Mikrotik;;RouterOS,v7.6;http80
103.100.78.153;;Mikrotik;;RouterOS,v7.6;http80
103.100.78.177;;Mikrotik;;RouterOS,v7.6;http80
103.100.78.185;;Mikrotik;;RouterOS,v7.6;http80
103.100.78.253;;Mikrotik;;RouterOS,v7.6;http80
103.100.79.1;;Mikrotik;CCR1016-12G;RouterOS;http8080,snmp
103.100.79.129;;Mikrotik;CCR1016-12G;RouterOS;http8080,snmp
103.100.79.140;;;;;http80,ssh
103.100.79.193;;Mikrotik;CCR1016-12G;RouterOS;http8080,snmp
103.100.79.209;;;;;http80,http8080,https443
103.100.79.211;;;;;https443
103.100.79.225;;Mikrotik;CCR1016-12G;RouterOS;http8080,snmp
103.100.79.228;;;;;http80,http8080,https443
103.100.79.245;;Mikrotik;CCR1016-12G;RouterOS;http8080,snmp
103.100.79.33;;Mikrotik;RB1100x4;RouterOS;snmp
103.100.79.41;;Mikrotik;RB1100x4;RouterOS;snmp
103.100.79.49;;Mikrotik;RB1100x4;RouterOS;snmp
103.101.117.210;;Mikrotik;RB4011iGS+;RouterOS;snmp
103.101.117.29;;Mikrotik;;RouterOS;http8080
103.101.117.73;;Mikrotik;;RouterOS;http8080
103.101.117.93;;Mikrotik;;RouterOS;http8080
103.101.119.26;;;;;http8080
103.101.119.50;;Fortinet;;;http8080,https443,ssh
103.101.134.110;;;;;http80,http8080,https443
103.101.134.130;;;;;http80,ssh
103.101.134.200;;Hikvision,TP-Link;300Mbps Wireless N Router,TL-WR850N;;http80,http8080
103.101.134.74;;Mikrotik;RB750Gr3;RouterOS;snmp
103.101.134.80;;;;;http80,http8080,https443
103.101.134.94;;;;;http80,http8080,https443
103.101.134.97;;;;;http80,http8080,https443,ssh
103.101.197.10;;;;;http80,ssh
103.101.197.12;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
103.101.197.136;;;;;http80,https443
103.101.197.157;;Mikrotik;;RouterOS,v6.48.7;http80
103.101.197.177;;Mikrotik;;RouterOS;http80,ssh
103.101.197.186;;Mikrotik;x86;RouterOS;snmp
103.101.197.191;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.197.195;;;;;http80,http8080
103.101.197.196;;Mikrotik;CCR2116-12G-4S+;RouterOS;snmp
103.101.197.209;;Mikrotik;CCR2116-12G-4S+;RouterOS;snmp
103.101.197.21;;Mikrotik;CCR2116-12G-4S+;RouterOS;snmp
103.101.197.218;;Mikrotik;CCR1016-12S-1S+;RouterOS;snmp
103.101.197.228;;Mikrotik;;RouterOS,v6.48.6;http80,ssh
103.101.197.237;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
103.101.197.24;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.197.242;;TP-Link;No.,TL-WR845N,TP-Link Wireless N Router WR845N;;http80,http8080,https443
103.101.197.244;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
103.101.197.26;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.197.29;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
103.101.197.37;;;;;http8080
103.101.197.38;;Mikrotik;RB3011UiAS;RouterOS;snmp
103.101.197.47;;Mikrotik;;RouterOS;http8080,ssh
103.101.197.58;;Mikrotik;;RouterOS,v6.42.10;http80
103.101.197.59;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.199.0;;Mikrotik;RB450Gx4;RouterOS,ledE,v6.48.6;http80,http8080,snmp,ssh
103.101.199.129;;Mikrotik;;RouterOS;http80,ssh
103.101.199.130;;TP-Link;AC750 Wireless Dual Band Router,Archer C20,No.;;http80,http8080
103.101.199.132;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.199.143;;TP-Link;3G/4G Wireless N Router,TL-MR3420;;http80,http8080,https443
103.101.199.165;;Mikrotik;CCR2116-12G-4S+;RouterOS;snmp
103.101.199.179;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
103.101.199.184;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
103.101.199.188;;Mikrotik;CCR2116-12G-4S+;RouterOS;snmp
103.101.199.189;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
103.101.199.202;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
103.101.199.211;;TP-Link;AC750 Wireless Dual Band Router,Archer C20,No.;;http80,http8080,https443
103.101.199.221;;;;;http80
103.101.199.235;;;;;http80,https443,ssh
103.101.199.25;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.199.253;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
103.101.199.255;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
103.101.199.26;;;;;http80,https443
103.101.199.58;;Mikrotik;x86;RouterOS;snmp
103.101.199.63;;Mikrotik;;RouterOS;http8080
103.101.199.84;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.68.10;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.68.14;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.68.18;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.68.2;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.68.22;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.68.41;;;;;http80,https443
103.101.68.6;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.68.61;;TP-Link;300Mbps Wireless N Router,TL-WR850N;;http80,https443
103.101.68.76;;Hikvision;;;http80
103.101.69.134;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.69.32;;Hikvision;;;http80
103.101.69.44;;;Linux Parijat_Chandan_Nagar 5.4.230 #0 SMP Wed Feb 12 09:31:19 2025 mips;;http80,http8080,snmp,ssh
103.101.70.130;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.70.138;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.70.142;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.70.214;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.71.138;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.71.142;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.71.146;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.71.18;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.71.22;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.71.26;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.71.30;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.101.71.65;;;;;http80
103.101.71.66;;Hikvision;;;http80
103.101.71.67;;;;;http80
103.101.71.71;;Hikvision;;;http80
103.101.71.9;;Hikvision;;;http80
103.102.122.223;;;;;http80,http8080,https443
103.102.146.110;;;;;http80
103.102.146.118;;;;;http80,https443
103.102.146.119;;;;;http80,https443
103.102.146.132;;;;;http80,https443
103.102.146.135;;;;;http80,https443
103.102.146.140;;;;;http80,https443
103.102.146.149;;;;;http80,http8080
103.102.146.151;;;;;http80,http8080
103.102.146.173;;;;;http80,https443
103.102.146.174;;;;V3.99984;http80,https443
103.102.146.190;;;;;http80,https443
103.102.146.233;;;;;http80,http8080,https443
103.102.146.248;;;;;http80,http8080,https443
103.102.146.43;;;;;http80,https443
103.102.146.51;;;;;http80,https443
103.102.146.58;;;;;http80,http8080,https443
103.102.146.84;;;;;http80,https443
103.102.146.99;;;;;http80,https443
103.102.176.130;;Mikrotik;CCR1009-7G-1C;RouterOS;snmp
103.102.18.129;;Mikrotik;CCR1009-8G-1S-1S+;RouterOS,v6.49.17;http80,snmp
103.102.18.136;;;;;http80,https443
103.102.18.138;;TP-Link;300Mbps Wireless N Router TL-WR850N,TL-WR850N;;http80,http8080
103.102.18.185;;Mikrotik;CCR1009-8G-1S-1S+;RouterOS;snmp
103.102.18.246;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
103.102.18.249;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.102.18.25;;Mikrotik;CCR1036-8G-2S+;RouterOS,v6.49.8;http80,snmp
103.102.18.27;;;;;https443,ssh
103.102.18.49;;Mikrotik;x86;RouterOS;snmp
103.102.19.1;;Mikrotik;;RouterOS;http80,http8080
103.102.25.11;;;;;http80
103.102.25.23;;;;;http80
103.102.25.27;;TP-Link;AC750 Wireless Dual Band Router,Archer C20;;http80,https443
103.102.25.38;;;;;http80,http8080,https443
103.102.25.46;;;;;http80,ssh
103.102.25.51;;;;;http80,http8080,https443
103.102.25.53;;Fortinet;;;http80,http8080,https443
103.102.48.66;;Mikrotik;CCR1072-1G-8S+;RouterOS;snmp
103.102.64.101;;Hikvision;;;http80
103.102.64.103;;;;;http8080,https443
103.102.64.129;;Hikvision;;;http80
103.102.64.151;;;;;http80
103.102.64.159;;Hikvision;;;http80
103.102.64.38;;Mikrotik;;RouterOS,v6.49.17;http80
103.103.142.101;;;;;http80,https443,ssh
103.103.59.28;;Fortinet;;;https443
103.103.59.30;;Mikrotik;RB750Gr3;RouterOS,v6.47.9;http80,snmp,ssh
103.103.59.54;;;;;ssh
103.103.59.99;;;V1600G1B;;snmp
103.104.112.5;;Mikrotik;;RouterOS,v6.47.9;http80
103.104.112.9;;Mikrotik;;RouterOS,v6.46.1;http80
103.104.183.2;;;;V213.7;http80
103.104.212.10;;Mikrotik;CCR1072-1G-8S+;RouterOS;snmp
103.104.232.18;;Mikrotik;CCR1036-8G-2S+;RouterOS;http80,snmp
103.104.232.34;;Mikrotik;CCR1036-12G-4S;RouterOS;snmp
103.104.233.226;;Mikrotik;RB4011iGS+;RouterOS;snmp
103.104.233.30;;Mikrotik;CCR1016-12G;RouterOS;snmp
103.104.233.82;;Mikrotik;RB4011iGS+;RouterOS;snmp
103.104.234.58;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp
103.104.234.74;;;;;http80,https443
103.104.234.75;;;;;ssh
